Pt,T,Vf,Vm,Ach,Over,Temp,,
0,0.25,1.66E-02,1.66E-02,3.60E-04,...........,-327.63,,
1,0.5,1.66E-02,1.66E-02,2.54E-04,...........,-327.63,,
2,0.75,1.66E-02,1.66E-02,3.59E-04,...........,-327.63,,
3,1,1.66E-02,1.66E-02,2.54E-04,...........,-327.63,,
4,1.25,1.66E-02,1.66E-02,3.60E-04,...........,-327.63,,
5,1.5,1.66E-02,1.66E-02,2.49E-04,...........,-327.63,,
6,1.75,1.66E-02,1.66E-02,3.59E-04,...........,-327.63,,
7,2,1.66E-02,1.66E-02,2.46E-04,...........,-327.63,,
8,2.25,1.66E-02,1.66E-02,3.53E-04,...........,-327.63,,
9,2.5,1.66E-02,1.66E-02,2.46E-04,...........,-327.63,,
10,2.75,1.66E-02,1.66E-02,3.43E-04,...........,-327.63,,
11,3,1.66E-02,1.66E-02,2.53E-04,...........,-327.63,,
12,3.25,1.66E-02,1.66E-02,3.52E-04,...........,-327.63,,
13,3.5,1.66E-02,1.66E-02,2.51E-04,...........,-327.63,,
14,3.75,1.66E-02,1.66E-02,3.62E-04,...........,-327.63,,
15,4,1.66E-02,1.66E-02,2.46E-04,...........,-327.63,,
16,4.25,1.66E-02,1.66E-02,3.51E-04,...........,-327.63,,
17,4.5,1.66E-02,1.66E-02,2.48E-04,...........,-327.63,,
18,4.75,1.66E-02,1.66E-02,3.59E-04,...........,-327.63,,
19,5,1.66E-02,1.66E-02,2.44E-04,...........,-327.63,,
20,5.25,1.66E-02,1.66E-02,3.47E-04,...........,-327.63,,
21,5.5,1.66E-02,1.66E-02,2.51E-04,...........,-327.63,,
22,5.75,1.66E-02,1.66E-02,3.53E-04,...........,-327.63,,
23,6,1.66E-02,1.66E-02,2.47E-04,...........,-327.63,,
24,6.25,1.66E-02,1.66E-02,3.56E-04,...........,-327.63,,
25,6.5,1.66E-02,1.66E-02,2.43E-04,...........,-327.63,,
26,6.75,1.66E-02,1.66E-02,3.50E-04,...........,-327.63,,
27,7,1.66E-02,1.66E-02,2.47E-04,...........,-327.63,,
28,7.25,1.66E-02,1.66E-02,3.57E-04,...........,-327.63,,
29,7.5,1.66E-02,1.66E-02,2.47E-04,...........,-327.63,,
30,7.75,1.66E-02,1.66E-02,3.53E-04,...........,-327.63,,
31,8,1.66E-02,1.66E-02,2.50E-04,...........,-327.63,,
32,8.25,1.66E-02,1.66E-02,3.49E-04,...........,-327.63,,
33,8.5,1.66E-02,1.66E-02,2.52E-04,...........,-327.63,,
34,8.75,1.66E-02,1.66E-02,3.45E-04,...........,-327.63,,
35,9,1.66E-02,1.66E-02,2.45E-04,...........,-327.63,,
36,9.25,1.66E-02,1.66E-02,3.46E-04,...........,-327.63,,
37,9.5,1.66E-02,1.66E-02,2.49E-04,...........,-327.63,,
38,9.75,1.66E-02,1.66E-02,3.56E-04,...........,-327.63,,
39,10,1.66E-02,1.66E-02,2.45E-04,...........,-327.63,,
40,10.25,1.66E-02,1.66E-02,3.57E-04,...........,-327.63,,
41,10.5,1.66E-02,1.66E-02,2.54E-04,...........,-327.63,,
42,10.75,1.66E-02,1.66E-02,3.52E-04,...........,-327.63,,
43,11,1.66E-02,1.66E-02,2.52E-04,...........,-327.63,,
44,11.25,1.66E-02,1.66E-02,3.56E-04,...........,-327.63,,
45,11.5,1.66E-02,1.66E-02,2.48E-04,...........,-327.63,,
46,11.75,1.66E-02,1.66E-02,3.54E-04,...........,-327.63,,
47,12,1.66E-02,1.66E-02,2.50E-04,...........,-327.63,,
48,12.25,1.66E-02,1.66E-02,3.57E-04,...........,-327.63,,
49,12.5,1.66E-02,1.66E-02,2.51E-04,...........,-327.63,,
50,12.75,1.66E-02,1.66E-02,3.52E-04,...........,-327.63,,
51,13,1.66E-02,1.66E-02,2.46E-04,...........,-327.63,,
52,13.25,1.66E-02,1.66E-02,3.60E-04,...........,-327.63,,
53,13.5,1.66E-02,1.66E-02,2.51E-04,...........,-327.63,,
54,13.75,1.66E-02,1.66E-02,3.46E-04,...........,-327.63,,
55,14,1.66E-02,1.66E-02,2.50E-04,...........,-327.63,,
56,14.25,1.66E-02,1.66E-02,3.50E-04,...........,-327.63,,
57,14.5,1.66E-02,1.66E-02,2.48E-04,...........,-327.63,,
58,14.75,1.66E-02,1.66E-02,3.59E-04,...........,-327.63,,
59,15,1.66E-02,1.66E-02,2.46E-04,...........,-327.63,,
60,15.25,1.66E-02,1.66E-02,3.52E-04,...........,-327.63,,
61,15.5,1.66E-02,1.66E-02,2.54E-04,...........,-327.63,,
62,15.75,1.66E-02,1.66E-02,3.53E-04,...........,-327.63,,
63,16,1.66E-02,1.66E-02,2.47E-04,...........,-327.63,,
64,16.25,1.66E-02,1.66E-02,3.56E-04,...........,-327.63,,
65,16.5,1.66E-02,1.66E-02,2.50E-04,...........,-327.63,,
66,16.75,1.66E-02,1.66E-02,3.62E-04,...........,-327.63,,
67,17,1.66E-02,1.66E-02,2.48E-04,...........,-327.63,,
68,17.25,1.66E-02,1.66E-02,3.45E-04,...........,-327.63,,
69,17.5,1.66E-02,1.66E-02,2.47E-04,...........,-327.63,,
70,17.75,1.66E-02,1.66E-02,3.48E-04,...........,-327.63,,
71,18,1.66E-02,1.66E-02,2.49E-04,...........,-327.63,,
72,18.25,1.66E-02,1.66E-02,3.60E-04,...........,-327.63,,
73,18.5,1.66E-02,1.66E-02,2.46E-04,...........,-327.63,,
74,18.75,1.66E-02,1.66E-02,3.54E-04,...........,-327.63,,
75,19,1.66E-02,1.66E-02,2.44E-04,...........,-327.63,,
76,19.25,1.66E-02,1.66E-02,3.51E-04,...........,-327.63,,
77,19.5,1.66E-02,1.66E-02,2.47E-04,...........,-327.63,,
78,19.75,1.66E-02,1.66E-02,3.57E-04,...........,-327.63,,
79,20,1.66E-02,1.66E-02,2.48E-04,...........,-327.63,,
80,20.25,1.66E-02,1.66E-02,3.42E-04,...........,-327.63,,
81,20.5,1.66E-02,1.66E-02,2.53E-04,...........,-327.63,,
82,20.75,1.66E-02,1.66E-02,3.64E-04,...........,-327.63,,
83,21,1.66E-02,1.66E-02,2.45E-04,...........,-327.63,,
84,21.25,1.66E-02,1.66E-02,3.52E-04,...........,-327.63,,
85,21.5,1.66E-02,1.66E-02,1.44E-04,...........,-327.63,,
86,21.75,1.66E-02,1.66E-02,9.75E-05,...........,-327.63,,
87,22,1.66E-02,1.66E-02,9.59E-05,...........,-327.63,,
88,22.25,1.66E-02,1.66E-02,9.52E-05,...........,-327.63,,
89,22.5,1.66E-02,1.66E-02,9.81E-05,...........,-327.63,,
90,22.75,1.66E-02,1.66E-02,9.67E-05,...........,-327.63,,
91,23,1.66E-02,1.66E-02,9.66E-05,...........,-327.63,,
92,23.25,1.66E-02,1.67E-02,9.63E-05,...........,-327.63,,
93,23.5,1.66E-02,1.66E-02,9.79E-05,...........,-327.63,,
94,23.75,1.66E-02,1.67E-02,9.99E-05,...........,-327.63,,
95,24,1.66E-02,1.66E-02,9.94E-05,...........,-327.63,,
96,24.25,1.66E-02,1.67E-02,9.31E-05,...........,-327.63,,
97,24.5,1.66E-02,1.66E-02,9.29E-05,...........,-327.63,,
98,24.75,1.66E-02,1.67E-02,9.63E-05,...........,-327.63,,
99,25,1.66E-02,1.66E-02,9.56E-05,...........,-327.63,,
100,25.25,1.66E-02,1.67E-02,9.45E-05,...........,-327.63,,
101,25.5,1.66E-02,1.66E-02,9.16E-05,...........,-327.63,,
102,25.75,1.66E-02,1.67E-02,9.33E-05,...........,-327.63,,
103,26,1.66E-02,1.66E-02,9.24E-05,...........,-327.63,,
104,26.25,1.66E-02,1.67E-02,9.01E-05,...........,-327.63,,
105,26.5,1.66E-02,1.66E-02,8.92E-05,...........,-327.63,,
106,26.75,1.66E-02,1.67E-02,9.25E-05,...........,-327.63,,
107,27,1.66E-02,1.66E-02,9.15E-05,...........,-327.63,,
108,27.25,1.66E-02,1.67E-02,9.10E-05,...........,-327.63,,
109,27.5,1.66E-02,1.66E-02,9.48E-05,...........,-327.63,,
110,27.75,1.66E-02,1.67E-02,9.15E-05,...........,-327.63,,
111,28,1.66E-02,1.66E-02,8.92E-05,...........,-327.63,,
112,28.25,1.66E-02,1.67E-02,9.27E-05,...........,-327.63,,
113,28.5,1.66E-02,1.66E-02,8.60E-05,...........,-327.63,,
114,28.75,1.66E-02,1.67E-02,9.10E-05,...........,-327.63,,
115,29,1.66E-02,1.66E-02,9.15E-05,...........,-327.63,,
116,29.25,1.66E-02,1.67E-02,9.57E-05,...........,-327.63,,
117,29.5,1.66E-02,1.66E-02,8.87E-05,...........,-327.63,,
118,29.75,1.66E-02,1.67E-02,9.17E-05,...........,-327.63,,
119,30,1.66E-02,1.66E-02,9.17E-05,...........,-327.63,,
120,30.25,1.66E-02,1.67E-02,8.82E-05,...........,-327.63,,
121,30.5,1.66E-02,1.66E-02,9.23E-05,...........,-327.63,,
122,30.75,1.66E-02,1.67E-02,9.21E-05,...........,-327.63,,
123,31,1.66E-02,1.66E-02,8.98E-05,...........,-327.63,,
124,31.25,1.66E-02,1.67E-02,9.57E-05,...........,-327.63,,
125,31.5,1.66E-02,1.66E-02,9.41E-05,...........,-327.63,,
126,31.75,1.66E-02,1.66E-02,9.09E-05,...........,-327.63,,
127,32,1.66E-02,1.66E-02,9.07E-05,...........,-327.63,,
128,32.25,1.66E-02,1.66E-02,9.30E-05,...........,-327.63,,
129,32.5,1.66E-02,1.66E-02,9.35E-05,...........,-327.63,,
130,32.75,1.66E-02,1.66E-02,9.77E-05,...........,-327.63,,
131,33,1.66E-02,1.66E-02,8.90E-05,...........,-327.63,,
132,33.25,1.66E-02,1.66E-02,9.35E-05,...........,-327.63,,
133,33.5,1.66E-02,1.66E-02,9.41E-05,...........,-327.63,,
134,33.75,1.66E-02,1.66E-02,9.94E-05,...........,-327.63,,
135,34,1.66E-02,1.66E-02,9.35E-05,...........,-327.63,,
136,34.25,1.66E-02,1.66E-02,9.61E-05,...........,-327.63,,
137,34.5,1.66E-02,1.66E-02,9.16E-05,...........,-327.63,,
138,34.75,1.66E-02,1.66E-02,9.69E-05,...........,-327.63,,
139,35,1.66E-02,1.66E-02,9.60E-05,...........,-327.63,,
140,35.25,1.66E-02,1.66E-02,9.03E-05,...........,-327.63,,
141,35.5,1.66E-02,1.67E-02,9.75E-05,...........,-327.63,,
142,35.75,1.66E-02,1.66E-02,9.61E-05,...........,-327.63,,
143,36,1.66E-02,1.67E-02,8.97E-05,...........,-327.63,,
144,36.25,1.66E-02,1.66E-02,9.37E-05,...........,-327.63,,
145,36.5,1.67E-02,1.67E-02,9.63E-05,...........,-327.63,,
146,36.75,1.67E-02,1.66E-02,9.55E-05,...........,-327.63,,
147,37,1.67E-02,1.67E-02,8.96E-05,...........,-327.63,,
148,37.25,1.67E-02,1.66E-02,8.81E-05,...........,-327.63,,
149,37.5,1.66E-02,1.66E-02,8.87E-05,...........,-327.63,,
150,37.75,1.66E-02,1.66E-02,9.07E-05,...........,-327.63,,
151,38,1.66E-02,1.66E-02,9.13E-05,...........,-327.63,,
152,38.25,1.66E-02,1.66E-02,9.27E-05,...........,-327.63,,
153,38.5,1.66E-02,1.66E-02,9.11E-05,...........,-327.63,,
154,38.75,1.66E-02,1.66E-02,9.35E-05,...........,-327.63,,
155,39,1.66E-02,1.66E-02,9.37E-05,...........,-327.63,,
156,39.25,1.66E-02,1.66E-02,9.03E-05,...........,-327.63,,
157,39.5,1.66E-02,1.66E-02,9.31E-05,...........,-327.63,,
158,39.75,1.66E-02,1.66E-02,9.41E-05,...........,-327.63,,
159,40,1.66E-02,1.66E-02,9.72E-05,...........,-327.63,,
160,40.25,1.66E-02,1.67E-02,9.39E-05,...........,-327.63,,
161,40.5,1.66E-02,1.67E-02,9.33E-05,...........,-327.63,,
162,40.75,1.66E-02,1.67E-02,9.66E-05,...........,-327.63,,
163,41,1.67E-02,1.67E-02,9.45E-05,...........,-327.63,,
164,41.25,1.67E-02,1.67E-02,1.01E-04,...........,-327.63,,
165,41.5,1.67E-02,1.67E-02,9.79E-05,...........,-327.63,,
166,41.75,1.67E-02,1.67E-02,9.47E-05,...........,-327.63,,
167,42,1.67E-02,1.66E-02,8.78E-05,...........,-327.63,,
168,42.25,1.67E-02,1.67E-02,9.13E-05,...........,-327.63,,
169,42.5,1.67E-02,1.66E-02,9.29E-05,...........,-327.63,,
170,42.75,1.67E-02,1.67E-02,9.57E-05,...........,-327.63,,
171,43,1.67E-02,1.66E-02,9.33E-05,...........,-327.63,,
172,43.25,1.67E-02,1.67E-02,9.47E-05,...........,-327.63,,
173,43.5,1.67E-02,1.66E-02,9.61E-05,...........,-327.63,,
174,43.75,1.67E-02,1.67E-02,9.03E-05,...........,-327.63,,
175,44,1.67E-02,1.66E-02,9.27E-05,...........,-327.63,,
176,44.25,1.67E-02,1.67E-02,9.25E-05,...........,-327.63,,
177,44.5,1.67E-02,1.66E-02,9.29E-05,...........,-327.63,,
178,44.75,1.67E-02,1.67E-02,9.64E-05,...........,-327.63,,
179,45,1.67E-02,1.66E-02,9.34E-05,...........,-327.63,,
180,45.25,1.67E-02,1.67E-02,9.25E-05,...........,-327.63,,
181,45.5,1.67E-02,1.66E-02,8.83E-05,...........,-327.63,,
182,45.75,1.67E-02,1.67E-02,9.36E-05,...........,-327.63,,
183,46,1.67E-02,1.66E-02,8.84E-05,...........,-327.63,,
184,46.25,1.67E-02,1.67E-02,9.59E-05,...........,-327.63,,
185,46.5,1.67E-02,1.66E-02,9.10E-05,...........,-327.63,,
186,46.75,1.67E-02,1.67E-02,9.75E-05,...........,-327.63,,
187,47,1.67E-02,1.66E-02,8.99E-05,...........,-327.63,,
188,47.25,1.67E-02,1.67E-02,9.69E-05,...........,-327.63,,
189,47.5,1.67E-02,1.66E-02,9.51E-05,...........,-327.63,,
190,47.75,1.67E-02,1.67E-02,9.37E-05,...........,-327.63,,
191,48,1.67E-02,1.66E-02,9.13E-05,...........,-327.63,,
192,48.25,1.67E-02,1.67E-02,9.58E-05,...........,-327.63,,
193,48.5,1.67E-02,1.66E-02,9.29E-05,...........,-327.63,,
194,48.75,1.67E-02,1.67E-02,9.54E-05,...........,-327.63,,
195,49,1.67E-02,1.66E-02,9.49E-05,...........,-327.63,,
196,49.25,1.67E-02,1.67E-02,9.71E-05,...........,-327.63,,
197,49.5,1.67E-02,1.66E-02,9.65E-05,...........,-327.63,,
198,49.75,1.67E-02,1.67E-02,9.84E-05,...........,-327.63,,
199,50,1.67E-02,1.66E-02,9.34E-05,...........,-327.63,,
200,50.25,1.67E-02,1.67E-02,9.31E-05,...........,-327.63,,
201,50.5,1.67E-02,1.66E-02,9.00E-05,...........,-327.63,,
202,50.75,1.67E-02,1.67E-02,9.25E-05,...........,-327.63,,
203,51,1.67E-02,1.66E-02,8.83E-05,...........,-327.63,,
204,51.25,1.67E-02,1.67E-02,9.17E-05,...........,-327.63,,
205,51.5,1.67E-02,1.66E-02,9.63E-05,...........,-327.63,,
206,51.75,1.67E-02,1.67E-02,9.60E-05,...........,-327.63,,
207,52,1.67E-02,1.67E-02,9.52E-05,...........,-327.63,,
