T,Vf,Vm,Ach
0.25,1.66E-02,1.66E-02,3.60E-04
0.5,1.66E-02,1.66E-02,2.54E-04
0.75,1.66E-02,1.66E-02,3.59E-04
1,1.66E-02,1.66E-02,2.54E-04
1.25,1.66E-02,1.66E-02,3.60E-04
1.5,1.66E-02,1.66E-02,2.49E-04
1.75,1.66E-02,1.66E-02,3.59E-04
2,1.66E-02,1.66E-02,2.46E-04
2.25,1.66E-02,1.66E-02,3.53E-04
2.5,1.66E-02,1.66E-02,2.46E-04
2.75,1.66E-02,1.66E-02,3.43E-04
3,1.66E-02,1.66E-02,2.53E-04
3.25,1.66E-02,1.66E-02,3.52E-04
3.5,1.66E-02,1.66E-02,2.51E-04
3.75,1.66E-02,1.66E-02,3.62E-04
4,1.66E-02,1.66E-02,2.46E-04
4.25,1.66E-02,1.66E-02,3.51E-04
4.5,1.66E-02,1.66E-02,2.48E-04
4.75,1.66E-02,1.66E-02,3.59E-04
5,1.66E-02,1.66E-02,2.44E-04
5.25,1.66E-02,1.66E-02,3.47E-04
5.5,1.66E-02,1.66E-02,2.51E-04
5.75,1.66E-02,1.66E-02,3.53E-04
6,1.66E-02,1.66E-02,2.47E-04
6.25,1.66E-02,1.66E-02,3.56E-04
6.5,1.66E-02,1.66E-02,2.43E-04
6.75,1.66E-02,1.66E-02,3.50E-04
7,1.66E-02,1.66E-02,2.47E-04
7.25,1.66E-02,1.66E-02,3.57E-04
7.5,1.66E-02,1.66E-02,2.47E-04
7.75,1.66E-02,1.66E-02,3.53E-04
8,1.66E-02,1.66E-02,2.50E-04
8.25,1.66E-02,1.66E-02,3.49E-04
8.5,1.66E-02,1.66E-02,2.52E-04
8.75,1.66E-02,1.66E-02,3.45E-04
9,1.66E-02,1.66E-02,2.45E-04
9.25,1.66E-02,1.66E-02,3.46E-04
9.5,1.66E-02,1.66E-02,2.49E-04
9.75,1.66E-02,1.66E-02,3.56E-04
10,1.66E-02,1.66E-02,2.45E-04
10.25,1.66E-02,1.66E-02,3.57E-04
10.5,1.66E-02,1.66E-02,2.54E-04
10.75,1.66E-02,1.66E-02,3.52E-04
11,1.66E-02,1.66E-02,2.52E-04
11.25,1.66E-02,1.66E-02,3.56E-04
11.5,1.66E-02,1.66E-02,2.48E-04
11.75,1.66E-02,1.66E-02,3.54E-04
12,1.66E-02,1.66E-02,2.50E-04
12.25,1.66E-02,1.66E-02,3.57E-04
12.5,1.66E-02,1.66E-02,2.51E-04
12.75,1.66E-02,1.66E-02,3.52E-04
13,1.66E-02,1.66E-02,2.46E-04
13.25,1.66E-02,1.66E-02,3.60E-04
13.5,1.66E-02,1.66E-02,2.51E-04
13.75,1.66E-02,1.66E-02,3.46E-04
14,1.66E-02,1.66E-02,2.50E-04
14.25,1.66E-02,1.66E-02,3.50E-04
14.5,1.66E-02,1.66E-02,2.48E-04
14.75,1.66E-02,1.66E-02,3.59E-04
15,1.66E-02,1.66E-02,2.46E-04
15.25,1.66E-02,1.66E-02,3.52E-04
15.5,1.66E-02,1.66E-02,2.54E-04
15.75,1.66E-02,1.66E-02,3.53E-04
16,1.66E-02,1.66E-02,2.47E-04
16.25,1.66E-02,1.66E-02,3.56E-04
16.5,1.66E-02,1.66E-02,2.50E-04
16.75,1.66E-02,1.66E-02,3.62E-04
17,1.66E-02,1.66E-02,2.48E-04
17.25,1.66E-02,1.66E-02,3.45E-04
17.5,1.66E-02,1.66E-02,2.47E-04
17.75,1.66E-02,1.66E-02,3.48E-04
18,1.66E-02,1.66E-02,2.49E-04
18.25,1.66E-02,1.66E-02,3.60E-04
18.5,1.66E-02,1.66E-02,2.46E-04
18.75,1.66E-02,1.66E-02,3.54E-04
19,1.66E-02,1.66E-02,2.44E-04
19.25,1.66E-02,1.66E-02,3.51E-04
19.5,1.66E-02,1.66E-02,2.47E-04
19.75,1.66E-02,1.66E-02,3.57E-04
20,1.66E-02,1.66E-02,2.48E-04
20.25,1.66E-02,1.66E-02,3.42E-04
20.5,1.66E-02,1.66E-02,2.53E-04
20.75,1.66E-02,1.66E-02,3.64E-04
21,1.66E-02,1.66E-02,2.45E-04
21.25,1.66E-02,1.66E-02,3.52E-04
21.5,1.66E-02,1.66E-02,1.44E-04
21.75,1.66E-02,1.66E-02,9.75E-05
22,1.66E-02,1.66E-02,9.59E-05
22.25,1.66E-02,1.66E-02,9.52E-05
22.5,1.66E-02,1.66E-02,9.81E-05
22.75,1.66E-02,1.66E-02,9.67E-05
23,1.66E-02,1.66E-02,9.66E-05
23.25,1.66E-02,1.67E-02,9.63E-05
23.5,1.66E-02,1.66E-02,9.79E-05
23.75,1.66E-02,1.67E-02,9.99E-05
24,1.66E-02,1.66E-02,9.94E-05
24.25,1.66E-02,1.67E-02,9.31E-05
24.5,1.66E-02,1.66E-02,9.29E-05
24.75,1.66E-02,1.67E-02,9.63E-05
25,1.66E-02,1.66E-02,9.56E-05
25.25,1.66E-02,1.67E-02,9.45E-05
25.5,1.66E-02,1.66E-02,9.16E-05
25.75,1.66E-02,1.67E-02,9.33E-05
26,1.66E-02,1.66E-02,9.24E-05
26.25,1.66E-02,1.67E-02,9.01E-05
26.5,1.66E-02,1.66E-02,8.92E-05
26.75,1.66E-02,1.67E-02,9.25E-05
27,1.66E-02,1.66E-02,9.15E-05
27.25,1.66E-02,1.67E-02,9.10E-05
27.5,1.66E-02,1.66E-02,9.48E-05
27.75,1.66E-02,1.67E-02,9.15E-05
28,1.66E-02,1.66E-02,8.92E-05
28.25,1.66E-02,1.67E-02,9.27E-05
28.5,1.66E-02,1.66E-02,8.60E-05
28.75,1.66E-02,1.67E-02,9.10E-05
29,1.66E-02,1.66E-02,9.15E-05
29.25,1.66E-02,1.67E-02,9.57E-05
29.5,1.66E-02,1.66E-02,8.87E-05
29.75,1.66E-02,1.67E-02,9.17E-05
30,1.66E-02,1.66E-02,9.17E-05
30.25,1.66E-02,1.67E-02,8.82E-05
30.5,1.66E-02,1.66E-02,9.23E-05
30.75,1.66E-02,1.67E-02,9.21E-05
31,1.66E-02,1.66E-02,8.98E-05
31.25,1.66E-02,1.67E-02,9.57E-05
31.5,1.66E-02,1.66E-02,9.41E-05
31.75,1.66E-02,1.66E-02,9.09E-05
32,1.66E-02,1.66E-02,9.07E-05
32.25,1.66E-02,1.66E-02,9.30E-05
32.5,1.66E-02,1.66E-02,9.35E-05
32.75,1.66E-02,1.66E-02,9.77E-05
33,1.66E-02,1.66E-02,8.90E-05
33.25,1.66E-02,1.66E-02,9.35E-05
33.5,1.66E-02,1.66E-02,9.41E-05
33.75,1.66E-02,1.66E-02,9.94E-05
34,1.66E-02,1.66E-02,9.35E-05
34.25,1.66E-02,1.66E-02,9.61E-05
34.5,1.66E-02,1.66E-02,9.16E-05
34.75,1.66E-02,1.66E-02,9.69E-05
35,1.66E-02,1.66E-02,9.60E-05
35.25,1.66E-02,1.66E-02,9.03E-05
35.5,1.66E-02,1.67E-02,9.75E-05
35.75,1.66E-02,1.66E-02,9.61E-05
36,1.66E-02,1.67E-02,8.97E-05
36.25,1.66E-02,1.66E-02,9.37E-05
36.5,1.67E-02,1.67E-02,9.63E-05
36.75,1.67E-02,1.66E-02,9.55E-05
37,1.67E-02,1.67E-02,8.96E-05
37.25,1.67E-02,1.66E-02,8.81E-05
37.5,1.66E-02,1.66E-02,8.87E-05
37.75,1.66E-02,1.66E-02,9.07E-05
38,1.66E-02,1.66E-02,9.13E-05
38.25,1.66E-02,1.66E-02,9.27E-05
38.5,1.66E-02,1.66E-02,9.11E-05
38.75,1.66E-02,1.66E-02,9.35E-05
39,1.66E-02,1.66E-02,9.37E-05
39.25,1.66E-02,1.66E-02,9.03E-05
39.5,1.66E-02,1.66E-02,9.31E-05
39.75,1.66E-02,1.66E-02,9.41E-05
40,1.66E-02,1.66E-02,9.72E-05
40.25,1.66E-02,1.67E-02,9.39E-05
40.5,1.66E-02,1.67E-02,9.33E-05
40.75,1.66E-02,1.67E-02,9.66E-05
41,1.67E-02,1.67E-02,9.45E-05
41.25,1.67E-02,1.67E-02,1.01E-04
41.5,1.67E-02,1.67E-02,9.79E-05
41.75,1.67E-02,1.67E-02,9.47E-05
42,1.67E-02,1.66E-02,8.78E-05
42.25,1.67E-02,1.67E-02,9.13E-05
42.5,1.67E-02,1.66E-02,9.29E-05
42.75,1.67E-02,1.67E-02,9.57E-05
43,1.67E-02,1.66E-02,9.33E-05
43.25,1.67E-02,1.67E-02,9.47E-05
43.5,1.67E-02,1.66E-02,9.61E-05
43.75,1.67E-02,1.67E-02,9.03E-05
44,1.67E-02,1.66E-02,9.27E-05
44.25,1.67E-02,1.67E-02,9.25E-05
44.5,1.67E-02,1.66E-02,9.29E-05
44.75,1.67E-02,1.67E-02,9.64E-05
45,1.67E-02,1.66E-02,9.34E-05
45.25,1.67E-02,1.67E-02,9.25E-05
45.5,1.67E-02,1.66E-02,8.83E-05
45.75,1.67E-02,1.67E-02,9.36E-05
46,1.67E-02,1.66E-02,8.84E-05
46.25,1.67E-02,1.67E-02,9.59E-05
46.5,1.67E-02,1.66E-02,9.10E-05
46.75,1.67E-02,1.67E-02,9.75E-05
47,1.67E-02,1.66E-02,8.99E-05
47.25,1.67E-02,1.67E-02,9.69E-05
47.5,1.67E-02,1.66E-02,9.51E-05
47.75,1.67E-02,1.67E-02,9.37E-05
48,1.67E-02,1.66E-02,9.13E-05
48.25,1.67E-02,1.67E-02,9.58E-05
48.5,1.67E-02,1.66E-02,9.29E-05
48.75,1.67E-02,1.67E-02,9.54E-05
49,1.67E-02,1.66E-02,9.49E-05
49.25,1.67E-02,1.67E-02,9.71E-05
49.5,1.67E-02,1.66E-02,9.65E-05
49.75,1.67E-02,1.67E-02,9.84E-05
50,1.67E-02,1.66E-02,9.34E-05
50.25,1.67E-02,1.67E-02,9.31E-05
50.5,1.67E-02,1.66E-02,9.00E-05
50.75,1.67E-02,1.67E-02,9.25E-05
51,1.67E-02,1.66E-02,8.83E-05
51.25,1.67E-02,1.67E-02,9.17E-05
51.5,1.67E-02,1.66E-02,9.63E-05
51.75,1.67E-02,1.67E-02,9.60E-05
52,1.67E-02,1.67E-02,9.52E-05
52.25,1.67E-02,1.67E-02,9.67E-05
52.5,1.67E-02,1.67E-02,9.09E-05
52.75,1.67E-02,1.67E-02,9.43E-05
53,1.67E-02,1.67E-02,9.18E-05
53.25,1.67E-02,1.67E-02,9.59E-05
53.5,1.67E-02,1.67E-02,9.04E-05
53.75,1.67E-02,1.67E-02,9.75E-05
54,1.67E-02,1.67E-02,9.29E-05
54.25,1.67E-02,1.67E-02,9.69E-05
54.5,1.67E-02,1.67E-02,8.93E-05
54.75,1.67E-02,1.67E-02,9.47E-05
55,1.67E-02,1.67E-02,9.47E-05
55.25,1.67E-02,1.67E-02,9.30E-05
55.5,1.67E-02,1.67E-02,9.19E-05
55.75,1.67E-02,1.67E-02,9.50E-05
56,1.67E-02,1.67E-02,9.51E-05
56.25,1.67E-02,1.67E-02,9.47E-05
56.5,1.67E-02,1.67E-02,9.24E-05
56.75,1.67E-02,1.67E-02,9.11E-05
57,1.67E-02,1.67E-02,9.55E-05
57.25,1.67E-02,1.67E-02,9.12E-05
57.5,1.67E-02,1.67E-02,9.54E-05
57.75,1.67E-02,1.67E-02,9.65E-05
58,1.67E-02,1.67E-02,9.01E-05
58.25,1.67E-02,1.67E-02,9.60E-05
58.5,1.67E-02,1.67E-02,9.79E-05
58.75,1.67E-02,1.67E-02,1.01E-04
59,1.67E-02,1.67E-02,9.67E-05
59.25,1.67E-02,1.67E-02,9.61E-05
59.5,1.67E-02,1.67E-02,9.39E-05
59.75,1.67E-02,1.67E-02,9.52E-05
60,1.67E-02,1.67E-02,9.69E-05
60.25,1.67E-02,1.67E-02,9.42E-05
60.5,1.67E-02,1.67E-02,9.39E-05
60.75,1.67E-02,1.67E-02,9.32E-05
61,1.67E-02,1.67E-02,9.64E-05
61.25,1.67E-02,1.67E-02,9.50E-05
61.5,1.67E-02,1.67E-02,9.85E-05
61.75,1.67E-02,1.67E-02,9.47E-05
62,1.67E-02,1.67E-02,9.83E-05
62.25,1.67E-02,1.67E-02,9.34E-05
62.5,1.67E-02,1.67E-02,8.75E-05
62.75,1.67E-02,1.67E-02,1.02E-04
63,1.67E-02,1.67E-02,9.88E-05
63.25,1.67E-02,1.67E-02,9.29E-05
63.5,1.67E-02,1.67E-02,9.37E-05
63.75,1.67E-02,1.67E-02,9.56E-05
64,1.67E-02,1.67E-02,9.85E-05
64.25,1.67E-02,1.67E-02,9.42E-05
64.5,1.67E-02,1.67E-02,9.48E-05
64.75,1.67E-02,1.67E-02,9.93E-05
65,1.67E-02,1.67E-02,9.67E-05
65.25,1.67E-02,1.67E-02,9.85E-05
65.5,1.67E-02,1.67E-02,9.53E-05
65.75,1.67E-02,1.67E-02,9.46E-05
66,1.67E-02,1.67E-02,9.71E-05
66.25,1.67E-02,1.67E-02,9.73E-05
66.5,1.67E-02,1.67E-02,9.82E-05
66.75,1.67E-02,1.67E-02,1.03E-04
67,1.67E-02,1.67E-02,1.02E-04
67.25,1.67E-02,1.67E-02,9.86E-05
67.5,1.67E-02,1.67E-02,9.79E-05
67.75,1.67E-02,1.67E-02,1.01E-04
68,1.67E-02,1.67E-02,9.47E-05
68.25,1.67E-02,1.67E-02,1.01E-04
68.5,1.67E-02,1.67E-02,9.29E-05
68.75,1.67E-02,1.67E-02,9.71E-05
69,1.67E-02,1.67E-02,9.63E-05
69.25,1.67E-02,1.67E-02,9.82E-05
69.5,1.67E-02,1.67E-02,1.03E-04
69.75,1.67E-02,1.67E-02,9.22E-05
70,1.67E-02,1.67E-02,1.00E-04
70.25,1.67E-02,1.67E-02,1.02E-04
70.5,1.67E-02,1.67E-02,9.55E-05
70.75,1.67E-02,1.67E-02,9.67E-05
71,1.67E-02,1.67E-02,9.70E-05
71.25,1.67E-02,1.67E-02,9.37E-05
71.5,1.67E-02,1.67E-02,9.87E-05
71.75,1.67E-02,1.67E-02,9.11E-05
72,1.67E-02,1.67E-02,9.81E-05
72.25,1.67E-02,1.67E-02,8.77E-05
72.5,1.67E-02,1.67E-02,9.81E-05
72.75,1.67E-02,1.67E-02,9.28E-05
73,1.67E-02,1.67E-02,9.59E-05
73.25,1.67E-02,1.67E-02,9.08E-05
73.5,1.67E-02,1.67E-02,9.72E-05
73.75,1.67E-02,1.67E-02,9.55E-05
74,1.67E-02,1.67E-02,9.35E-05
74.25,1.67E-02,1.67E-02,9.79E-05
74.5,1.67E-02,1.67E-02,9.92E-05
74.75,1.67E-02,1.67E-02,9.49E-05
75,1.67E-02,1.67E-02,1.05E-04
75.25,1.67E-02,1.67E-02,9.56E-05
75.5,1.67E-02,1.67E-02,9.73E-05
75.75,1.67E-02,1.67E-02,1.00E-04
76,1.67E-02,1.67E-02,9.99E-05
76.25,1.67E-02,1.67E-02,9.70E-05
76.5,1.67E-02,1.67E-02,9.42E-05
76.75,1.67E-02,1.67E-02,1.00E-04
77,1.67E-02,1.67E-02,1.01E-04
77.25,1.67E-02,1.67E-02,9.53E-05
77.5,1.67E-02,1.67E-02,9.55E-05
77.75,1.67E-02,1.67E-02,9.59E-05
78,1.67E-02,1.67E-02,1.00E-04
78.25,1.67E-02,1.67E-02,9.28E-05
78.5,1.67E-02,1.67E-02,9.19E-05
78.75,1.67E-02,1.67E-02,9.49E-05
79,1.67E-02,1.67E-02,9.79E-05
79.25,1.67E-02,1.67E-02,9.41E-05
79.5,1.67E-02,1.67E-02,9.82E-05
79.75,1.67E-02,1.67E-02,9.51E-05
80,1.67E-02,1.67E-02,1.05E-04
80.25,1.67E-02,1.67E-02,9.82E-05
80.5,1.67E-02,1.67E-02,1.01E-04
80.75,1.67E-02,1.67E-02,9.56E-05
81,1.67E-02,1.67E-02,9.65E-05
81.25,1.67E-02,1.67E-02,9.63E-05
81.5,1.67E-02,1.67E-02,1.00E-04
81.75,1.67E-02,1.67E-02,1.02E-04
82,1.67E-02,1.67E-02,1.00E-04
82.25,1.67E-02,1.67E-02,9.54E-05
82.5,1.67E-02,1.67E-02,9.86E-05
82.75,1.67E-02,1.67E-02,1.02E-04
83,1.67E-02,1.67E-02,9.85E-05
83.25,1.67E-02,1.67E-02,1.01E-04
83.5,1.67E-02,1.67E-02,1.02E-04
83.75,1.67E-02,1.67E-02,9.42E-05
84,1.67E-02,1.67E-02,9.87E-05
84.25,1.67E-02,1.67E-02,9.53E-05
84.5,1.67E-02,1.67E-02,9.85E-05
84.75,1.67E-02,1.67E-02,9.47E-05
85,1.67E-02,1.67E-02,9.34E-05
85.25,1.67E-02,1.67E-02,9.93E-05
85.5,1.67E-02,1.67E-02,9.67E-05
85.75,1.67E-02,1.67E-02,1.00E-04
86,1.67E-02,1.67E-02,9.64E-05
86.25,1.67E-02,1.67E-02,9.02E-05
86.5,1.67E-02,1.67E-02,9.36E-05
86.75,1.67E-02,1.67E-02,9.60E-05
87,1.67E-02,1.67E-02,9.28E-05
87.25,1.67E-02,1.67E-02,9.25E-05
87.5,1.67E-02,1.67E-02,9.26E-05
87.75,1.67E-02,1.67E-02,9.19E-05
88,1.67E-02,1.67E-02,9.28E-05
88.25,1.67E-02,1.67E-02,9.55E-05
88.5,1.67E-02,1.67E-02,9.43E-05
88.75,1.67E-02,1.67E-02,9.39E-05
89,1.67E-02,1.67E-02,9.01E-05
89.25,1.67E-02,1.67E-02,9.02E-05
89.5,1.67E-02,1.67E-02,9.50E-05
89.75,1.67E-02,1.67E-02,9.55E-05
90,1.67E-02,1.67E-02,9.23E-05
90.25,1.67E-02,1.67E-02,9.43E-05
90.5,1.67E-02,1.67E-02,9.51E-05
90.75,1.67E-02,1.67E-02,9.65E-05
91,1.67E-02,1.67E-02,9.25E-05
91.25,1.67E-02,1.67E-02,9.27E-05
91.5,1.67E-02,1.67E-02,9.25E-05
91.75,1.67E-02,1.67E-02,9.21E-05
92,1.67E-02,1.67E-02,9.27E-05
92.25,1.67E-02,1.67E-02,8.99E-05
92.5,1.67E-02,1.67E-02,8.93E-05
92.75,1.67E-02,1.67E-02,9.13E-05
93,1.67E-02,1.67E-02,9.25E-05
93.25,1.67E-02,1.67E-02,9.08E-05
93.5,1.67E-02,1.67E-02,8.93E-05
93.75,1.67E-02,1.67E-02,9.59E-05
94,1.67E-02,1.67E-02,9.54E-05
94.25,1.67E-02,1.67E-02,9.25E-05
94.5,1.67E-02,1.67E-02,9.40E-05
94.75,1.67E-02,1.67E-02,9.55E-05
95,1.67E-02,1.67E-02,9.17E-05
95.25,1.67E-02,1.67E-02,9.13E-05
95.5,1.67E-02,1.67E-02,9.16E-05
95.75,1.67E-02,1.67E-02,9.57E-05
96,1.67E-02,1.67E-02,9.13E-05
96.25,1.67E-02,1.67E-02,9.33E-05
96.5,1.67E-02,1.67E-02,9.39E-05
96.75,1.67E-02,1.67E-02,9.29E-05
97,1.67E-02,1.67E-02,9.58E-05
97.25,1.67E-02,1.67E-02,9.52E-05
97.5,1.67E-02,1.67E-02,9.59E-05
97.75,1.67E-02,1.67E-02,9.85E-05
98,1.67E-02,1.67E-02,9.05E-05
98.25,1.67E-02,1.67E-02,9.11E-05
98.5,1.67E-02,1.67E-02,9.27E-05
98.75,1.67E-02,1.67E-02,9.51E-05
99,1.67E-02,1.67E-02,9.69E-05
99.25,1.67E-02,1.67E-02,9.07E-05
99.5,1.67E-02,1.67E-02,9.58E-05
99.75,1.67E-02,1.67E-02,9.36E-05
100,1.67E-02,1.67E-02,9.61E-05
